"id","Adenosine.diphosphate.ribose..ADPr.","Adenosine.triphosphate..ATP.","cyclic.adenosine.diphosphate.ribose..cADPribose.","N.methyl.2.pyridone.5.carboxamide..Me2Py.","N.methyl.4.pyridone.5.carboxamide..Me4Py.","X1.methyl.nicotinamide..MeNAM.","nicotinic.acid..NA.","nicotinic.acid.adenine.dinucleotide..NaAD.","nicotinamide.adenine.dinucleotide..NAD.","nicotinamide.adenine.dinucleotide..NADneg.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Nicotinamide.adenine.dinucleotide.phosphate..NADPneg621.","nicotinamide..NAM.","nicotinic.acid.mononucleotide..NAMN.","Nicotinic.acid.riboside..NaR.","Nicotinamide.mononucleotide..NMN.","Nicotinamide.riboside..NR."
"HFHS66.1",26.9265607333781,25.6382755897779,25.0221854121944,22.9805362975597,25.1683746126023,24.2974288772395,20.3207749036809,25.3974386071664,29.0864818450483,20.2563738363226,22.3288156520443,25.2728478798459,20.0450744689451,26.5580044229286,16.7296991894748,19.8219950629461,21.8849169548691,17.2316737057121
"HFHS66.2",27.3769825465952,25.4954276664721,25.8251798983092,23.3782722823635,25.7602542641665,24.529466436545,19.9854175736039,26.1966961946882,29.7542756311458,21.0722476959622,22.8808155896315,26.0940105182012,20.5771061993374,26.4084726007959,16.9913298733565,19.9353263366922,22.4389065243144,17.5304114859163
"HFHS66.3",26.7903045085959,24.5428986988212,24.9741954645399,22.7179058865165,25.0352651501168,24.3350531856731,20.1262914326833,25.4594666829087,29.1413970102172,20.1517447822322,22.427773941729,25.2524367320052,20.0919931262825,26.1021878603412,16.7345992866736,19.8848147358456,21.8748583066956,17.6048871423569
"HS60.1",26.2788925380173,25.1844450590658,24.3217561458041,23.0207126445851,25.3138880279604,24.0548628530975,19.5851987452576,25.2595492548516,28.945158118527,20.0510457000931,22.0750587618702,25.006358400191,19.7887758523308,25.3462715969892,17.1356024050742,19.8220324492938,22.3866435203837,16.9704384460239
"HS60.2",25.8589758884898,27.0952393053061,23.8283032814813,22.8210659195486,25.196790506781,24.4148351395774,19.5479367159412,25.5272565539589,29.2463437434926,20.2627942435776,22.2818043054358,25.5880193216589,20.0158993816834,25.0876308437118,17.0295735774073,19.8961283194952,22.5329846787738,16.9340223051875
"HS63.1",26.8452919091827,24.9353133874884,24.6738564726087,20.7251470407611,22.6564775376025,24.0720810202099,18.3851685715914,24.9922912262645,28.7815079053654,19.6545112533433,21.8005621209582,24.0394748753151,19.5505414111951,24.407383072953,16.944975850515,19.9877800481262,22.1740726167882,17.2181901224718
"HS63.2",25.8167817407837,24.1400709367869,23.8372135738216,20.6507512920193,22.5551749181384,23.6651756500317,18.4145731537885,25.0876224199523,28.8714008665424,19.8750190288618,21.5220322196191,24.5353577173415,19.2691365845481,24.0294960079225,16.688109434501,19.8802268270425,21.4639949549956,16.7050619548311
"HS63.3",26.5428339948813,24.5526167879291,24.7306573144164,21.6500157675341,23.6650984865043,24.0244417835929,19.7965366988746,25.4252669706129,29.1841824540646,20.2489299408725,22.2214261199136,25.3843233978697,20.0244488533101,25.7760611848951,16.6241803884822,19.8951703354571,21.6619465679406,17.7068480712585
"HS64.1",27.0284603134622,25.0066428271908,25.1526844899254,22.1372018582923,24.5278541184223,24.3413911287668,20.1801218248811,25.3484437518694,29.0490828528292,20.2560117510313,22.4687209791463,25.0972567024445,20.1275379583944,26.4592797866611,17.0724389310124,19.9014240546176,22.1519284326258,17.645210425937
"HS64.2",26.5799089168214,24.9895837862581,24.7324985190803,21.6704488454441,23.8674313986897,24.2921897394226,20.1908254179313,25.4783390898095,29.1786272883932,20.44045356612,22.4372934020293,25.3340094337555,20.1013007058018,26.2523109841254,16.9485985664236,19.8484043783694,21.8756604118491,17.6757274341275
"HS64.3",26.6173702413221,24.7143459312947,24.688321874364,21.752948329152,24.0387448806479,23.9442591751041,19.9665111613861,25.1423856785565,28.8831833971496,20.0042386449618,22.0757190858353,24.7738484195637,19.8735821901826,25.8665035863998,16.9823648022747,19.8532986323857,22.1507866161892,16.7640730601394
